Frame 0: X=669, Y=484, Radius=157
Frame 0: X=186, Y=502, Radius=26
Frame 0: X=434, Y=478, Radius=74
Frame 0: X=59, Y=469, Radius=59
Frame 0: X=201, Y=487, Radius=61
Frame 0: X=224, Y=471, Radius=60
Frame 0: X=32, Y=425, Radius=36
Frame 0: X=222, Y=380, Radius=25
Frame 0: X=89, Y=288, Radius=48
Frame 0: X=19, Y=285, Radius=19
Frame 0: X=162, Y=307, Radius=25
Frame 0: X=168, Y=313, Radius=37
Frame 0: X=197, Y=281, Radius=25
Frame 0: X=124, Y=993, Radius=773
Frame 0: X=294, Y=246, Radius=34
Frame 0: X=179, Y=206, Radius=24
Frame 0: X=108, Y=113, Radius=44
Frame 0: X=28, Y=111, Radius=28
Frame 0: X=269, Y=100, Radius=33
Frame 0: X=256, Y=20, Radius=20
Frame 0: X=184, Y=421, Radius=421
Frame 1: X=712, Y=1767, Radius=143
Frame 1: X=942, Y=1749, Radius=15
Frame 1: X=699, Y=1740, Radius=31
Frame 1: X=603, Y=1739, Radius=56
Frame 1: X=239, Y=1726, Radius=11
Frame 1: X=1023, Y=1713, Radius=14
Frame 1: X=879, Y=1734, Radius=35
Frame 1: X=932, Y=1705, Radius=17
Frame 1: X=1016, Y=1685, Radius=18
Frame 1: X=88, Y=1673, Radius=18
Frame 1: X=1062, Y=1642, Radius=12
Frame 1: X=272, Y=1660, Radius=24
Frame 1: X=95, Y=1670, Radius=43
Frame 1: X=297, Y=1623, Radius=31
Frame 1: X=952, Y=1672, Radius=64
Frame 1: X=1031, Y=1590, Radius=15
Frame 1: X=1030, Y=1582, Radius=48
Frame 1: X=58, Y=1661, Radius=97
Frame 1: X=1027, Y=1661, Radius=103
Frame 1: X=855, Y=1585, Radius=36
Frame 1: X=48, Y=1566, Radius=21
Frame 1: X=55, Y=1565, Radius=22
Frame 1: X=964, Y=1642, Radius=103
Frame 1: X=143, Y=1527, Radius=28
Frame 1: X=307, Y=1497, Radius=30
Frame 1: X=954, Y=1544, Radius=64
Frame 1: X=55, Y=1492, Radius=22
Frame 1: X=1047, Y=1470, Radius=32
Frame 1: X=273, Y=1460, Radius=33
Frame 1: X=865, Y=1409, Radius=20
Frame 1: X=66, Y=1452, Radius=67
Frame 1: X=141, Y=1367, Radius=20
Frame 1: X=996, Y=1369, Radius=24
Frame 1: X=88, Y=1366, Radius=15
Frame 1: X=33, Y=1485, Radius=131
Frame 1: X=1047, Y=1384, Radius=54
Frame 1: X=1032, Y=1354, Radius=16
Frame 1: X=1015, Y=1345, Radius=7
Frame 1: X=13, Y=1339, Radius=13
Frame 1: X=89, Y=1345, Radius=72
Frame 1: X=1065, Y=1335, Radius=17
Frame 1: X=985, Y=1328, Radius=10
Frame 1: X=1056, Y=1326, Radius=25
Frame 1: X=861, Y=1331, Radius=17
Frame 1: X=1033, Y=1325, Radius=17
Frame 1: X=1037, Y=1296, Radius=9
Frame 1: X=986, Y=1426, Radius=143
Frame 1: X=861, Y=1297, Radius=13
Frame 1: X=162, Y=1313, Radius=40
Frame 1: X=1013, Y=1256, Radius=11
Frame 1: X=273, Y=1303, Radius=56
Frame 1: X=1055, Y=1257, Radius=19
Frame 1: X=993, Y=1240, Radius=13
Frame 1: X=1048, Y=1241, Radius=12
Frame 1: X=972, Y=1236, Radius=8
Frame 1: X=1022, Y=1216, Radius=12
Frame 1: X=926, Y=1338, Radius=138
Frame 1: X=1028, Y=1204, Radius=14
Frame 1: X=1062, Y=1208, Radius=18
Frame 1: X=155, Y=1217, Radius=49
Frame 1: X=856, Y=1189, Radius=25
Frame 1: X=324, Y=1223, Radius=64
Frame 1: X=1051, Y=1163, Radius=9
Frame 1: X=998, Y=1158, Radius=40
Frame 1: X=989, Y=1221, Radius=78
Frame 1: X=1065, Y=1172, Radius=20
Frame 1: X=289, Y=1186, Radius=33
Frame 1: X=123, Y=1160, Radius=15
Frame 1: X=916, Y=1173, Radius=25
Frame 1: X=325, Y=1148, Radius=29
Frame 1: X=831, Y=1149, Radius=31
Frame 1: X=971, Y=1120, Radius=7
Frame 1: X=857, Y=1135, Radius=18
Frame 1: X=1007, Y=1118, Radius=8
Frame 1: X=1076, Y=1132, Radius=18
Frame 1: X=24, Y=1109, Radius=24
Frame 1: X=174, Y=1130, Radius=38
Frame 1: X=418, Y=1180, Radius=89
Frame 1: X=1056, Y=1086, Radius=23
Frame 1: X=977, Y=1076, Radius=17
Frame 1: X=294, Y=1102, Radius=38
Frame 1: X=847, Y=1084, Radius=28
Frame 1: X=990, Y=1051, Radius=24
Frame 1: X=1037, Y=1047, Radius=41
Frame 1: X=1006, Y=1098, Radius=79
Frame 1: X=100, Y=1073, Radius=35
Frame 1: X=917, Y=1030, Radius=13
Frame 1: X=850, Y=1031, Radius=14
Frame 1: X=967, Y=1011, Radius=15
Frame 1: X=179, Y=1045, Radius=37
Frame 1: X=358, Y=1053, Radius=55
Frame 1: X=1028, Y=998, Radius=8
Frame 1: X=1055, Y=982, Radius=24
Frame 1: X=957, Y=972, Radius=6
Frame 1: X=1070, Y=959, Radius=10
Frame 1: X=992, Y=958, Radius=13
Frame 1: X=939, Y=1209, Radius=268
Frame 1: X=190, Y=962, Radius=21
Frame 1: X=1010, Y=993, Radius=85
Frame 1: X=338, Y=948, Radius=11
Frame 1: X=341, Y=954, Radius=29
Frame 1: X=336, Y=957, Radius=33
Frame 1: X=979, Y=1338, Radius=420
Frame 1: X=850, Y=952, Radius=32
Frame 1: X=111, Y=966, Radius=46
Frame 1: X=295, Y=968, Radius=51
Frame 1: X=102, Y=969, Radius=59
Frame 1: X=899, Y=916, Radius=13
Frame 1: X=1065, Y=896, Radius=13
Frame 1: X=615, Y=895, Radius=19
Frame 1: X=573, Y=893, Radius=14
Frame 1: X=646, Y=889, Radius=22
Frame 1: X=567, Y=882, Radius=31
Frame 1: X=1054, Y=903, Radius=29
Frame 1: X=585, Y=876, Radius=5
Frame 1: X=636, Y=874, Radius=33
Frame 1: X=69, Y=1100, Radius=230
Frame 1: X=563, Y=865, Radius=18
Frame 1: X=1058, Y=860, Radius=20
Frame 1: X=637, Y=863, Radius=10
Frame 1: X=732, Y=882, Radius=27
Frame 1: X=613, Y=860, Radius=15
Frame 1: X=833, Y=871, Radius=23
Frame 1: X=655, Y=849, Radius=9
Frame 1: X=622, Y=846, Radius=15
Frame 1: X=568, Y=844, Radius=33
Frame 1: X=191, Y=889, Radius=50
Frame 1: X=636, Y=835, Radius=33
Frame 1: X=567, Y=828, Radius=28
Frame 1: X=641, Y=826, Radius=26
Frame 1: X=568, Y=817, Radius=29
Frame 1: X=636, Y=810, Radius=32
Frame 1: X=568, Y=807, Radius=32
Frame 1: X=166, Y=877, Radius=76
Frame 1: X=160, Y=874, Radius=74
Frame 1: X=602, Y=851, Radius=90
Frame 1: X=930, Y=810, Radius=43
Frame 1: X=967, Y=761, Radius=53
Frame 1: X=203, Y=763, Radius=67
Frame 1: X=53, Y=772, Radius=110
Frame 1: X=1021, Y=716, Radius=43
Frame 1: X=67, Y=666, Radius=29
Frame 1: X=51, Y=660, Radius=52
Frame 1: X=137, Y=678, Radius=25
Frame 1: X=777, Y=631, Radius=44
Frame 1: X=596, Y=626, Radius=61
Frame 1: X=451, Y=625, Radius=75
Frame 1: X=214, Y=630, Radius=49
Frame 1: X=576, Y=1193, Radius=634
Frame 1: X=606, Y=568, Radius=33
Frame 1: X=606, Y=563, Radius=33
Frame 1: X=606, Y=555, Radius=33
Frame 1: X=217, Y=564, Radius=15
Frame 1: X=606, Y=547, Radius=33
Frame 1: X=143, Y=597, Radius=53
Frame 1: X=606, Y=540, Radius=33
Frame 1: X=655, Y=557, Radius=23
Frame 1: X=606, Y=533, Radius=33
Frame 1: X=182, Y=564, Radius=33
Frame 1: X=605, Y=552, Radius=60
Frame 1: X=814, Y=539, Radius=63
Frame 1: X=952, Y=680, Radius=225
Frame 1: X=189, Y=546, Radius=66
Frame 1: X=666, Y=486, Radius=158
Frame 1: X=186, Y=502, Radius=27
Frame 1: X=433, Y=478, Radius=73
Frame 1: X=60, Y=467, Radius=60
Frame 1: X=201, Y=487, Radius=62
Frame 1: X=223, Y=476, Radius=56
Frame 1: X=32, Y=425, Radius=37
Frame 1: X=223, Y=380, Radius=25
Frame 1: X=244, Y=1021, Radius=710
Frame 1: X=89, Y=288, Radius=48
Frame 1: X=19, Y=286, Radius=19
Frame 1: X=168, Y=313, Radius=37
Frame 1: X=197, Y=280, Radius=26
Frame 1: X=123, Y=993, Radius=772
Frame 1: X=293, Y=238, Radius=27
Frame 1: X=109, Y=113, Radius=45
Frame 1: X=28, Y=111, Radius=28
Frame 1: X=268, Y=85, Radius=48
Frame 1: X=184, Y=421, Radius=421
Frame 2: X=712, Y=1767, Radius=144
Frame 2: X=1033, Y=1747, Radius=45
Frame 2: X=642, Y=1747, Radius=188
Frame 2: X=699, Y=1739, Radius=29
Frame 2: X=605, Y=1738, Radius=56
Frame 2: X=240, Y=1724, Radius=13
Frame 2: X=1024, Y=1712, Radius=14
Frame 2: X=878, Y=1733, Radius=34
Frame 2: X=1017, Y=1686, Radius=20
Frame 2: X=932, Y=1698, Radius=24
Frame 2: X=88, Y=1671, Radius=18
Frame 2: X=93, Y=1685, Radius=43
Frame 2: X=1065, Y=1643, Radius=10
Frame 2: X=272, Y=1660, Radius=24
Frame 2: X=299, Y=1625, Radius=33
Frame 2: X=25, Y=1677, Radius=68
Frame 2: X=952, Y=1673, Radius=64
Frame 2: X=1031, Y=1587, Radius=16
Frame 2: X=72, Y=1599, Radius=28
Frame 2: X=1030, Y=1582, Radius=48
Frame 2: X=1026, Y=1654, Radius=97
Frame 2: X=115, Y=1578, Radius=17
Frame 2: X=855, Y=1585, Radius=36
Frame 2: X=964, Y=1641, Radius=102
Frame 2: X=142, Y=1532, Radius=14
Frame 2: X=307, Y=1497, Radius=30
Frame 2: X=953, Y=1544, Radius=64
Frame 2: X=1047, Y=1469, Radius=32
Frame 2: X=62, Y=1487, Radius=28
Frame 2: X=57, Y=1471, Radius=43
Frame 2: X=273, Y=1455, Radius=28
Frame 2: X=933, Y=1446, Radius=27
Frame 2: X=866, Y=1414, Radius=14
Frame 2: X=69, Y=1414, Radius=24
Frame 2: X=1065, Y=1382, Radius=16
Frame 2: X=141, Y=1367, Radius=20
Frame 2: X=995, Y=1368, Radius=24
Frame 2: X=95, Y=1366, Radius=22
Frame 2: X=33, Y=1485, Radius=131
Frame 2: X=1047, Y=1383, Radius=54
Frame 2: X=1032, Y=1355, Radius=17
Frame 2: X=13, Y=1338, Radius=13
Frame 2: X=89, Y=1345, Radius=72
Frame 2: X=1063, Y=1335, Radius=19
Frame 2: X=985, Y=1328, Radius=11
Frame 2: X=861, Y=1330, Radius=16
Frame 2: X=1053, Y=1327, Radius=29
Frame 2: X=985, Y=1426, Radius=143
Frame 2: X=861, Y=1297, Radius=13
Frame 2: X=1041, Y=1291, Radius=16
Frame 2: X=281, Y=1314, Radius=51
Frame 2: X=322, Y=1263, Radius=29
Frame 2: X=1052, Y=1261, Radius=15
Frame 2: X=1014, Y=1255, Radius=11
Frame 2: X=993, Y=1241, Radius=13
Frame 2: X=1048, Y=1241, Radius=12
Frame 2: X=972, Y=1236, Radius=9
Frame 2: X=1024, Y=1216, Radius=10
Frame 2: X=991, Y=1206, Radius=20
Frame 2: X=1043, Y=1196, Radius=13
Frame 2: X=1063, Y=1198, Radius=13
Frame 2: X=289, Y=1195, Radius=24
Frame 2: X=151, Y=1260, Radius=92
Frame 2: X=923, Y=1291, Radius=125
Frame 2: X=855, Y=1189, Radius=25
Frame 2: X=297, Y=1207, Radius=44
Frame 2: X=987, Y=1158, Radius=29
Frame 2: X=988, Y=1221, Radius=78
Frame 2: X=1064, Y=1174, Radius=21
Frame 2: X=325, Y=1147, Radius=29
Frame 2: X=831, Y=1149, Radius=31
Frame 2: X=1076, Y=1132, Radius=19
Frame 2: X=24, Y=1109, Radius=24
Frame 2: X=176, Y=1114, Radius=22
Frame 2: X=421, Y=1180, Radius=89
Frame 2: X=1057, Y=1085, Radius=22
Frame 2: X=976, Y=1076, Radius=16
Frame 2: X=294, Y=1102, Radius=38
Frame 2: X=847, Y=1084, Radius=28
Frame 2: X=993, Y=1052, Radius=21
Frame 2: X=357, Y=1078, Radius=30
Frame 2: X=1037, Y=1047, Radius=41
Frame 2: X=1006, Y=1098, Radius=79
Frame 2: X=849, Y=1031, Radius=13
Frame 2: X=933, Y=1247, Radius=231
Frame 2: X=968, Y=1011, Radius=16
Frame 2: X=175, Y=1044, Radius=46
Frame 2: X=1055, Y=983, Radius=24
Frame 2: X=957, Y=972, Radius=6
Frame 2: X=1070, Y=958, Radius=10
Frame 2: X=993, Y=957, Radius=13
Frame 2: X=929, Y=1015, Radius=74
Frame 2: X=189, Y=961, Radius=20
Frame 2: X=1010, Y=992, Radius=85
Frame 2: X=338, Y=956, Radius=18
Frame 2: X=337, Y=957, Radius=34
Frame 2: X=973, Y=1338, Radius=420
Frame 2: X=850, Y=951, Radius=32
Frame 2: X=110, Y=965, Radius=46
Frame 2: X=295, Y=968, Radius=51
Frame 2: X=1022, Y=916, Radius=5
Frame 2: X=102, Y=979, Radius=69
Frame 2: X=898, Y=915, Radius=13
Frame 2: X=1065, Y=897, Radius=13
Frame 2: X=1054, Y=903, Radius=29
Frame 2: X=70, Y=1100, Radius=230
Frame 2: X=1058, Y=860, Radius=21
Frame 2: X=731, Y=882, Radius=27
Frame 2: X=832, Y=866, Radius=18
Frame 2: X=191, Y=891, Radius=48
Frame 2: X=160, Y=875, Radius=73
Frame 2: X=166, Y=877, Radius=76
Frame 2: X=601, Y=851, Radius=90
Frame 2: X=930, Y=809, Radius=43
Frame 2: X=204, Y=764, Radius=67
Frame 2: X=54, Y=773, Radius=111
Frame 2: X=968, Y=718, Radius=69
Frame 2: X=51, Y=660, Radius=52
Frame 2: X=137, Y=679, Radius=26
Frame 2: X=777, Y=631, Radius=44
Frame 2: X=608, Y=627, Radius=73
Frame 2: X=451, Y=626, Radius=75
Frame 2: X=214, Y=631, Radius=50
Frame 2: X=578, Y=1193, Radius=634
Frame 2: X=606, Y=569, Radius=33
Frame 2: X=143, Y=607, Radius=42
Frame 2: X=606, Y=563, Radius=33
Frame 2: X=606, Y=555, Radius=33
Frame 2: X=217, Y=564, Radius=15
Frame 2: X=606, Y=547, Radius=33
Frame 2: X=606, Y=540, Radius=33
Frame 2: X=655, Y=557, Radius=24
Frame 2: X=606, Y=533, Radius=33
Frame 2: X=267, Y=534, Radius=25
Frame 2: X=605, Y=552, Radius=60
Frame 2: X=814, Y=539, Radius=63
Frame 2: X=1056, Y=496, Radius=23
Frame 2: X=926, Y=684, Radius=216
Frame 2: X=189, Y=545, Radius=67
Frame 2: X=184, Y=536, Radius=61
Frame 2: X=577, Y=482, Radius=246
Frame 2: X=60, Y=467, Radius=60
Frame 2: X=201, Y=487, Radius=62
Frame 2: X=224, Y=476, Radius=55
Frame 2: X=32, Y=425, Radius=37
Frame 2: X=223, Y=380, Radius=25
Frame 2: X=244, Y=1020, Radius=709
Frame 2: X=89, Y=288, Radius=48
Frame 2: X=19, Y=286, Radius=19
Frame 2: X=162, Y=318, Radius=35
Frame 2: X=168, Y=314, Radius=36
Frame 2: X=236, Y=297, Radius=22
Frame 2: X=197, Y=281, Radius=25
