Frame 32: X=780, Y=452, Radius=20, VelocityVer=2.71, VelocityHor=-1.27, DetectionNum=0
Frame 33: X=564, Y=905, Radius=20, VelocityVer=2.71, VelocityHor=-1.27, DetectionNum=0
Frame 34: X=348, Y=1357, Radius=20, VelocityVer=2.71, VelocityHor=-1.27, DetectionNum=0
Frame 32: X=780, Y=452, Radius=20, VelocityVer=2.21, VelocityHor=-1.27, DetectionNum=1
Frame 33: X=564, Y=905, Radius=20, VelocityVer=2.21, VelocityHor=-1.27, DetectionNum=1
Frame 35: X=132, Y=1810, Radius=20, VelocityVer=2.21, VelocityHor=-1.27, DetectionNum=1
Frame 32: X=780, Y=452, Radius=20, VelocityVer=5.16, VelocityHor=-1.27, DetectionNum=2
Frame 34: X=348, Y=1357, Radius=20, VelocityVer=5.16, VelocityHor=-1.27, DetectionNum=2
Frame 35: X=132, Y=1810, Radius=20, VelocityVer=5.16, VelocityHor=-1.27, DetectionNum=2
Frame 33: X=564, Y=905, Radius=20, VelocityVer=6.65, VelocityHor=-1.27, DetectionNum=3
Frame 34: X=348, Y=1357, Radius=20, VelocityVer=6.65, VelocityHor=-1.27, DetectionNum=3
Frame 35: X=132, Y=1810, Radius=20, VelocityVer=6.65, VelocityHor=-1.27, DetectionNum=3
Frame 36: X=317, Y=376, Radius=61, VelocityVer=3.46, VelocityHor=0.43, DetectionNum=4
Frame 37: X=390, Y=752, Radius=61, VelocityVer=3.46, VelocityHor=0.43, DetectionNum=4
Frame 38: X=462, Y=1128, Radius=61, VelocityVer=3.46, VelocityHor=0.43, DetectionNum=4
Frame 36: X=317, Y=376, Radius=61, VelocityVer=2.93, VelocityHor=0.43, DetectionNum=5
Frame 37: X=390, Y=752, Radius=61, VelocityVer=2.93, VelocityHor=0.43, DetectionNum=5
Frame 39: X=534, Y=1506, Radius=61, VelocityVer=2.93, VelocityHor=0.43, DetectionNum=5
Frame 36: X=317, Y=376, Radius=61, VelocityVer=4.27, VelocityHor=0.43, DetectionNum=6
Frame 38: X=462, Y=1128, Radius=61, VelocityVer=4.27, VelocityHor=0.43, DetectionNum=6
Frame 39: X=534, Y=1506, Radius=61, VelocityVer=4.27, VelocityHor=0.43, DetectionNum=6
Frame 37: X=390, Y=752, Radius=61, VelocityVer=5.25, VelocityHor=0.42, DetectionNum=7
